date,gym,room,machine,machineId,set,weight,reps,duration,level,incline,hr,notes
2026-08-04,Common Machines,Bodyweight — No Equipment,Squats,squats,1,,15,,,,,
2026-08-04,Common Machines,Bodyweight — No Equipment,Squats,squats,2,,15,,,,,
2026-08-04,Common Machines,Bodyweight — No Equipment,Squats,squats,3,,15,,,,,
2026-08-04,Common Machines,Bodyweight — No Equipment,Lunges,lunges,1,,10,,,,,
2026-08-04,Common Machines,Bodyweight — No Equipment,Lunges,lunges,2,,10,,,,,
2026-08-04,Common Machines,Bodyweight — No Equipment,Lunges,lunges,3,,10,,,,,
2026-08-04,Common Machines,Bodyweight — No Equipment,Wall Sits,wall-sits,1,,,30,,,,
2026-08-04,Common Machines,Bodyweight — No Equipment,Wall Sits,wall-sits,2,,,30,,,,
2026-08-04,Common Machines,Bodyweight — No Equipment,Wall Sits,wall-sits,3,,,30,,,,
2026-08-04,Common Machines,Bodyweight — No Equipment,High Planks,high-planks,1,,,35,,,,
2026-08-04,Common Machines,Bodyweight — No Equipment,High Planks,high-planks,2,,,35,,,,
2026-08-04,Common Machines,Bodyweight — No Equipment,High Planks,high-planks,3,,,35,,,,
2026-08-04,Common Machines,Bodyweight — No Equipment,Bridges,bridges,1,,15,,,,,
2026-08-04,Common Machines,Bodyweight — No Equipment,Bridges,bridges,2,,15,,,,,
2026-08-04,Common Machines,Bodyweight — No Equipment,Bridges,bridges,3,,15,,,,,
2026-08-04,Common Machines,Bodyweight — No Equipment,Side Planks,side-planks,1,,,25,,,,
2026-08-04,Common Machines,Bodyweight — No Equipment,Side Planks,side-planks,2,,,25,,,,
2026-08-04,Common Machines,Bodyweight — No Equipment,Side Planks,side-planks,3,,,25,,,,
2026-08-03,Admirals Cove,Aerobic Area,Treadmill,m1785620353523,1,,,5,3.3,5,100,
2026-08-03,Admirals Cove,Aerobic Area,Treadmill,m1785620353523,2,,,5,3.3,7.5,114,
2026-08-03,Admirals Cove,Aerobic Area,Treadmill,m1785620353523,3,,,5,3.3,10,125,
2026-08-03,Admirals Cove,Aerobic Area,Treadmill,m1785620353523,4,,,5,3.3,12.5,135,
2026-08-03,Admirals Cove,Aerobic Area,Treadmill,m1785620353523,5,,,5,3.3,2.5,100,
2026-08-03,Admirals Cove,Machines,Chest press,m1785006554823,1,55,10,,,,,
2026-08-03,Admirals Cove,Machines,Chest press,m1785006554823,2,75,10,,,,,
2026-08-03,Admirals Cove,Machines,Chest press,m1785006554823,3,95,10,,,,,
2026-08-03,Admirals Cove,Machines,Chest press,m1785006554823,4,115,10,,,,,
2026-08-03,Admirals Cove,Machines,Chest press,m1785006554823,5,125,10,,,,,
2026-08-03,Admirals Cove,Machines,Pec Fly,m1785006589359,1,30,10,,,,,
2026-08-03,Admirals Cove,Machines,Pec Fly,m1785006589359,2,40,10,,,,,
2026-08-03,Admirals Cove,Machines,Pec Fly,m1785006589359,3,50,10,,,,,
2026-08-03,Admirals Cove,Machines,Reverse Fly,m1785006624353,1,20,10,,,,,
2026-08-03,Admirals Cove,Machines,Reverse Fly,m1785006624353,2,25,10,,,,,
2026-08-03,Admirals Cove,Machines,Reverse Fly,m1785006624353,3,30,10,,,,,
2026-08-03,Admirals Cove,Machines,Arm Extension,m1785618661120,1,35,10,,,,,
